298
NN 3707,-8.6135,-0.37935,-2.32014,1.58,0.700011931
NN 3378,-0.01963,3.82633,6.52513,1.6,0.70001182
Gl 285,-2.61083,5.31334,0.36764,1.6,0.700011733
Gl 105  B,5.55915,4.50805,0.85998,1.6,0.70001124
GJ 1207,-2.58956,-9.19325,-0.72572,1.6,0.700011211
NN 3193 B,5.13108,5.21492,-2.17905,0.4,0.700011079
Gl 555,-4.66786,-3.72242,-1.32589,1.633,0.700011065
Gl 682,-0.36034,-3.58969,-3.52272,1.655,0.700010673
Gl 831  A,6.29054,-4.77051,-1.36233,1.703,0.70001053
NN 3789,-6.37499,-2.69904,3.88107,1.57,0.700010429
GJ 1105,-3.02379,5.33318,5.38702,1.618,0.700010339
NN 3991,-1.14625,-5.11979,5.01055,1.696,0.700010285
NN 3304,3.07927,8.25589,4.72845,1.65,0.700009703
Gl 783  B,2.64893,-4.11155,-3.56407,0.4,0.700009175
Gl 747  B,2.00007,-6.57974,4.38599,0.4,0.700009075
Gl 268,-1.49674,4.74446,3.96176,1.7,0.700008824
NN 3522,-3.10741,3.13694,0.6583,1.67,0.700008756
Gl 166  C,2.20178,4.48907,-0.668,1.67,0.700008638
Gl 643,-1.78687,-6.17342,-0.9399,1.7,0.70000855
NN 3379,-0.00109,5.36169,0.25361,1.68,0.70000844
Gl 213,0.44003,5.6335,1.25201,1.675,0.700007938
Gl 633,-2.2499,-6.24813,-6.87726,1.61,0.70000772
Gl 203,1.19251,8.48635,1.4565,1.653,0.700007673
Gl 480.1,-5.46364,-0.98262,-5.28053,1.75,0.700007435
Gl 402,-5.34273,1.66214,0.6682,1.679,0.700006988
GJ 1065,5.06674,8.01162,-1.00892,1.7,0.700006934
GJ 1005 A,4.9955,0.33751,-1.44822,1.75,0.700006863
GJ 1001,7.27591,0.14718,-6.25623,1.63,0.70000671
Gl 280  B,-1.46276,3.16066,0.31946,0.4,0.700006396
NN 3275,3.75967,8.262,3.17171,1.7,0.700006373
Gl 729,0.58625,-2.65449,-1.20101,1.51,0.700006258
Gl 102,6.93967,5.50068,4.11713,1.7,0.70000622
GJ 1289,6.51425,-0.4829,4.8404,1.6,0.700006174
Gl 234  A,-0.52576,4.07838,-0.20201,1.69,0.700006018
GJ 1230 A,1.19139,-6.56852,3.08232,1.71,0.700005905
GJ 1138,-7.57469,2.3951,5.67933,1.66,0.700005884
NN 3049,7.30642,1.40263,-6.53286,0.4,0.700005618
NN 3323,1.52537,5.89592,-0.74101,0.4,0.700005417
Gl 440,-1.96074,0.12289,-4.18266,0.196,0.700005341
Barnard's Star,-0.01729,-1.81533,0.14824,1.57,0.700005045
